"当地时间 杭州市(机场)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.12.2024 23:00";"2.2";"767.8";"772.0";"-0.1";"81";"从西南偏南方向吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"-0.8";"10.4";"";"";"2500或更高，或无云。";"";"";"10.0";"-0.7";"无降水";"12";"";"";"";"";
"15.12.2024 20:00";"4.6";"767.9";"772.0";"0.7";"59";"从西方吹来的风";"1";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"-0.8";"10.4";"";"";"2500或更高，或无云。";"";"";"13.0";"-2.7";"无降水";"12";"";"";"";"";
"15.12.2024 17:00";"6.8";"767.2";"771.4";"-0.4";"43";"从西南方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"-0.8";"10.4";"";"";"2500或更高，或无云。";"";"";"16.0";"-4.9";"无降水";"12";"";"";"";"";
"15.12.2024 14:00";"9.8";"767.6";"771.7";"-2.1";"23";"从西北方吹来的风";"2";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"-0.8";"10.2";"";"";"2500或更高，或无云。";"";"";"21.0";"-10.3";"无降水";"12";"";"";"";"";
"15.12.2024 11:00";"7.0";"769.7";"773.8";"-1.0";"48";"从南方吹来的风";"3";"";"5";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"-0.8";"8.4";"";"";"2500或更高，或无云。";"";"";"9.0";"-3.3";"无降水";"12";"";"";"";"";
"15.12.2024 08:00";"1.3";"770.7";"774.8";"0.8";"92";"从南方吹来的风";"2";"";"4";"";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"-0.8";"8.4";"";"";"2500或更高，或无云。";"";"";"3.1";"0.1";"无降水";"12";"";"";"";"";
"15.12.2024 05:00";"-0.3";"769.9";"774.1";"-0.5";"87";"从东方吹来的风";"1";"";"";"";"霾 ";"";"";"-0.3";"8.4";"";"";"2500或更高，或无云。";"";"";"6.0";"-2.2";"无降水";"12";"";"";"";"";
"15.12.2024 02:00";"0.7";"770.4";"774.5";"-0.8";"78";"从南方吹来的风";"1";"";"6";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"0.7";"8.4";"";"";"2500或更高，或无云。";"";"";"8.0";"-2.7";"无降水";"12";"";"";"";"";
"14.12.2024 23:00";"1.8";"771.2";"775.3";"0.4";"73";"从西北偏西方向吹来的风";"1";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"";"";"1.7";"8.4";"";"";"2500或更高，或无云。";"";"";"8.0";"-2.5";"无降水";"12";"";"";"";"";
"14.12.2024 20:00";"4.2";"770.8";"775.0";"0.7";"56";"从北方吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.2";"8.4";"";"";"2500或更高，或无云。";"";"";"10.0";"-4.0";"无降水";"12";"";"";"";"";
"14.12.2024 17:00";"5.4";"770.1";"774.2";"-0.1";"62";"从西北偏西方向吹来的风";"1";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.2";"8.4";"";"";"2500或更高，或无云。";"";"";"8.0";"-1.3";"无降水";"12";"";"";"";"";
"14.12.2024 14:00";"8.1";"770.2";"774.4";"-2.4";"43";"从西北偏北方向吹来的风";"2";"";"8";"";"云量发展情况没有进行观测或无法观测。 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"3.2";"10.1";"";"";"2500或更高，或无云。";"";"";"8.0";"-3.7";"无降水";"12";"";"";"";"";
